dataset,hybrid-sil-cpp,romulo,resultado,,,,,,,,,
data-lakes\clustering\Agrifood-Exports\tab-12.csv,"0,0371658","3,574510574",Ganha ou Empata,,,,,,,,,
data-lakes\clustering\Agrifood-Exports\tab-14.csv,"0,0213901","2,025288343",Ganha ou Empata,,,,,,,,,
data-lakes\clustering\Agrifood-Exports\tab-15.csv,"0,0495422","2,171669483",Ganha ou Empata,,,,,,,,,
data-lakes\clustering\Agrifood-Exports\tab-35.csv,"0,0741909","2,148885489",Ganha ou Empata,,,,,,,,,
data-lakes\clustering\Agrifood-Exports\tab-36.csv,"0,0447508","2,205266714",Ganha ou Empata,,,,,,,,,
data-lakes\clustering\Agrifood-Exports\tab-37.csv,"0,307675","2,222735405",Ganha ou Empata,,,,,,,,,
data-lakes\clustering\Agrifood-Exports\tab-38.csv,"0,16637","2,320035458",Ganha ou Empata,,,,,,,,,
data-lakes\clustering\Agrifood-Exports\tab-42.csv,"0,200536","2,267119646",Ganha ou Empata,,,,,,,,,
data-lakes\clustering\Agrifood-Exports\tab-45.csv,"0,254763","2,256202698",Ganha ou Empata,,,,,,,,,
data-lakes\clustering\Agrifood-Exports\tab-47.csv,"0,0755589","2,045693159",Ganha ou Empata,,,,,,,,,
data-lakes\clustering\Agrifood-Exports\tab-94.csv,"0,0158196","2,02295351",Ganha ou Empata,,,,,,,,,
data-lakes\clustering\Art-Funding\21100183.csv,"0,142844","2,445556879",Ganha ou Empata,,,,,,,,,
data-lakes\clustering\Art-Funding\21100245.csv,"0,0199052","1,983714819",Ganha ou Empata,,,,,,,,,
data-lakes\clustering\Art-Funding\artpublic.csv,"0,823803","2,892939568",Ganha ou Empata,,,,,,,,,
data-lakes\clustering\Art-Funding\ccsf_en.csv,"196,094","6,296335459",Perde,,,,,,,,,
data-lakes\clustering\Brasilian-Taxes\dados.csv,"61,3993","346,0287831",Ganha ou Empata,,,,,,,,,
data-lakes\clustering\COVID\covid-line-list.csv,"56,6001","27,78400159",Perde,,,,,,,,,
data-lakes\clustering\COVID\estimations.csv,"0,747021","3,031449556",Ganha ou Empata,,,,,,,,,
data-lakes\clustering\COVID\liz-friedman-covid.csv,"0,125996","2,332385302",Ganha ou Empata,,,,,,,,,
data-lakes\clustering\Crimes\Crime1.csv,"453,001","109,3465283",Perde,,,,,,,,,
data-lakes\clustering\Crimes\accidental_deaths.csv,"212,104","6,756724358",Perde,,,,,,,,,
data-lakes\clustering\Crimes\children_injured.csv,"89,7474","6,980813503",Perde,,,,,,,,,
data-lakes\clustering\Crimes\children_killed.csv,"108,194","6,549701452",Perde,,,,,,,,,
data-lakes\clustering\Crimes\knifecrime2.csv,"136,566","33,61896777",Perde,,,,,,,,,
data-lakes\clustering\Crimes\teens_injured.csv,"55,5159","7,350473881",Perde,,,,,,,,,
data-lakes\clustering\Crimes\teens_killed.csv,"33,3814","7,059618235",Perde,,,,,,,,,
data-lakes\clustering\Divorces\39100009-000000.csv,"250,599","7,798449516",Perde,,,,,,,,,
data-lakes\clustering\Divorces\39100009-000001.csv,"304,967","6,494850397",Perde,,,,,,,,,
data-lakes\clustering\Divorces\39100009-000002.csv,"302,952","6,216016293",Perde,,,,,,,,,
data-lakes\clustering\Divorces\39100009-000003.csv,"306,314","6,440295696",Perde,,,,,,,,,
data-lakes\clustering\Divorces\39100009-000004.csv,"126,063","8,732650995",Perde,,,,,,,,,
data-lakes\clustering\Divorces\39100009-000005.csv,"180,952","6,054982662",Perde,,,,,,,,,
data-lakes\clustering\Divorces\39100009-000006.csv,"245,35","6,041692734",Perde,,,,,,,,,
data-lakes\clustering\Divorces\39100009-000007.csv,"0,300793","3,418372631",Ganha ou Empata,,,,,,,,,
data-lakes\clustering\Divorces\39100011.csv,"0,0590149","2,354403257",Ganha ou Empata,,,,,,,,,
data-lakes\clustering\Divorces\39100016.csv,"1,39842","5,709104061",Ganha ou Empata,,,,,,,,,
data-lakes\clustering\Divorces\39100019.csv,"0,0735045","2,619654655",Ganha ou Empata,,,,,,,,,
data-lakes\clustering\Divorces\39100020.csv,"8,51223","3,985209227",Perde,,,,,,,,,
data-lakes\clustering\Divorces\39100021.csv,"78,502","4,799224377",Perde,,,,,,,,,
data-lakes\clustering\Divorces\39100029.csv,"0,0462985","2,042161942",Ganha ou Empata,,,,,,,,,
data-lakes\clustering\Divorces\39100033.csv,"0,0328332","2,271836758",Ganha ou Empata,,,,,,,,,
data-lakes\clustering\Divorces\39100037.csv,"38,4339","26,10974693",Perde,,,,,,,,,
data-lakes\clustering\Divorces\39100038.csv,"0,0656404","2,452753305",Ganha ou Empata,,,,,,,,,
data-lakes\clustering\EU-Fruit-Data\tag00120.csv,"63,5934","6,877953291",Perde,,,,,,,,,
data-lakes\clustering\Farm-Operators\32100004.csv,"12,3528","10,60144758",Perde,,,,,,,,,
data-lakes\clustering\Farm-Operators\32100009.csv,"175,451","109,2125897",Perde,,,,,,,,,
data-lakes\clustering\Farm-Operators\32100010.csv,"313,884","92,48720956",Perde,,,,,,,,,
data-lakes\clustering\Farm-Operators\32100020.csv,"154,493","113,6969047",Perde,,,,,,,,,
data-lakes\clustering\Farm-Operators\32100024.csv,"25,8973","11,98688722",Perde,,,,,,,,,
data-lakes\clustering\Farm-Operators\32100027.csv,"23,1411","9,185982227",Perde,,,,,,,,,
data-lakes\clustering\Farm-Operators\32100030.csv,"16,7911","9,45903039",Perde,,,,,,,,,
data-lakes\clustering\Farm-Operators\32100084.csv,"24,7813","32,79551482",Ganha ou Empata,,,,,,,,,
data-lakes\clustering\Farm-Operators\32100166.csv,"15,9292","36,14957023",Ganha ou Empata,,,,,,,,,
data-lakes\clustering\Farm-Operators\32100192.csv,"63,9973","11,17323446",Perde,,,,,,,,,
data-lakes\clustering\Gas-Emissions\co2-nuts-2.csv,"0,171745","3,011745214",Ganha ou Empata,,,,,,,,,
data-lakes\clustering\Gas-Emissions\med_en1.csv,"0,0156532","2,233504295",Ganha ou Empata,,,,,,,,,
data-lakes\clustering\Gas-Emissions\med_en2.csv,"0,111427","2,686109066",Ganha ou Empata,,,,,,,,,
data-lakes\clustering\Gas-Emissions\t2020_30.csv,"0,298205","2,921794415",Ganha ou Empata,,,,,,,,,
data-lakes\clustering\Hiking-Tours\videos_utf8.csv,"320,206","39,71878076",Perde,,,,,,,,,
data-lakes\clustering\Marriage\both_sexes.csv,"0,110538","2,218964338",Ganha ou Empata,,,,,,,,,
data-lakes\clustering\Marriage\divorce.csv,"0,0322836","1,986878395",Ganha ou Empata,,,,,,,,,
data-lakes\clustering\Marriage\men.csv,"0,205608","2,258417845",Ganha ou Empata,,,,,,,,,
data-lakes\clustering\Marriage\women.csv,"0,154604","2,270909548",Ganha ou Empata,,,,,,,,,
data-lakes\clustering\Rockfall-Risk\B-9.csv,"2,22265","3,624491215",Ganha ou Empata,,,,,,,,,
data-lakes\clustering\Rockfall-Risk\C-6.csv,"1,4133","3,560152769",Ganha ou Empata,,,,,,,,,
data-lakes\clustering\Rockfall-Risk\D-1.csv,"3,52904","3,796168089",Ganha ou Empata,,,,,,,,,
data-lakes\clustering\Rockfall-Risk\E-7.csv,"1,39516","3,625945091",Ganha ou Empata,,,,,,,,,
data-lakes\clustering\Rockfall-Risk\F-4.csv,"4,03784","3,729358435",Perde,,,,,,,,,
data-lakes\clustering\Rockfall-Risk\G-3.csv,"1,65671","3,873186827",Ganha ou Empata,,,,,,,,,
data-lakes\clustering\Rockfall-Risk\H-1.csv,"109,095","47,79905605",Perde,,,,,,,,,
data-lakes\clustering\Rockfall-Risk\H-2.csv,118,"51,61277103",Perde,,,,,,,,,
data-lakes\clustering\Rockfall-Risk\H-3.csv,"94,0832","54,21067071",Perde,,,,,,,,,
data-lakes\clustering\Rockfall-Risk\H-4.csv,"95,1473","55,96771884",Perde,,,,,,,,,
data-lakes\clustering\Rockfall-Risk\J-1.csv,"101,216","54,09200621",Perde,,,,,,,,,
data-lakes\clustering\Rockfall-Risk\J-2.csv,"76,8361","48,53547478",Perde,,
data-lakes\clustering\Rockfall-Risk\J-3.csv,"99,3969","47,07445765",Perde,,
data-lakes\clustering\Rockfall-Risk\J-4.csv,"100,962","56,86368489",Perde,,
data-lakes\clustering\Rockfall-Risk\K-6.csv,"167,745","56,85684729",Perde,,,,,,,,,
data-lakes\clustering\Rockfall-Risk\K-7.csv,"90,7075","55,05967307",Perde,,,,,,,,,
data-lakes\clustering\Rockfall-Risk\K-8.csv,"151,841","48,21031618",Perde,,,,,,,,,
data-lakes\clustering\Rockfall-Risk\K-9.csv,"137,168","49,19002533",Perde,,,,,,,,,
data-lakes\clustering\Rockfall-Risk\Z-1.csv,"102,491","50,77708125",Perde,,,,,,,,,
data-lakes\clustering\Rockfall-Risk\Z-2.csv,"147,78","52,90758657",Perde,,,,,,,,,
data-lakes\clustering\Second-Language\37100078.csv,"0,199682","2,860949993",Ganha ou Empata,,,,,,,,,
data-lakes\clustering\Second-Language\37100141.csv,"0,194349","2,84887743",Ganha ou Empata,,,,,,,,,
data-lakes\clustering\Second-Language\CS_ANG.csv,"0,0249675","1,960674763",Ganha ou Empata,,,,,,,,,
data-lakes\clustering\Teen-Pregnancy\13100166.csv,"8,58696","9,134803057",Ganha ou Empata,,,,,,,,,
data-lakes\clustering\Teen-Pregnancy\13100169.csv,"3,20535","6,765574455",Ganha ou Empata,,,,,,,,,
data-lakes\clustering\Teen-Pregnancy\13100170.csv,"15,2472","24,34191704",Ganha ou Empata,,,,,,,,,
data-lakes\clustering\Teen-Pregnancy\13100172.csv,"2,61378","6,73067832",Ganha ou Empata,,,,,,,,,
data-lakes\clustering\Teen-Pregnancy\13100173.csv,"2,91493","7,675364256",Ganha ou Empata,,,,,,,,,
data-lakes\clustering\Tuition-Fees\34100282.csv,"86,2043","128,0547106",Ganha ou Empata,,,,,,,,,
data-lakes\clustering\Tuition-Fees\37100004.csv,"111,72","70,89868426",Perde,,,,,,,,,
data-lakes\clustering\Tuition-Fees\37100005.csv,"85,5324","57,42545557",Perde,,,,,,,,,
data-lakes\clustering\Tuition-Fees\37100006.csv,"101,359","72,69703484",Perde,,,,,,,,,
data-lakes\clustering\UBER-Trips\jan-feb-foils.csv,"2,69904","3,166891336",Ganha ou Empata,,,,,,,,,
data-lakes\clustering\WiFi-Hotspots\DailyUsage.csv,"0,0255723","1,753469467",Ganha ou Empata,,,,,,,,,
data-lakes\clustering\WiFi-Hotspots\csv-4.csv,"0,0331148","1,80048418",Ganha ou Empata,,,,,,,,,
data-lakes\clustering\WiFi-Hotspots\eduroam.csv,"0,0238623","1,866189241",Ganha ou Empata,,,,,,,,,
data-lakes\clustering\WiFi-Hotspots\geojson-2.csv,"0,0931306","2,035349369",Ganha ou Empata,,,,,,,,,
data-lakes\clustering\WiFi-Hotspots\json-5.csv,"0,0772206","2,057272673",Ganha ou Empata,,,,,,,,,